fecha_de_pago,cod_comercio," PERCEPCION IVA R.G. 2408   3,00 %",AJUSTE SIRTAC JUL. 1RA QUINC,AJUSTE SIRTAC JUNIO 2DA QUINC,ARANCEL                                     ,CARGO  SISTEMA CUOTAS MENS                  ,CARGO LIQUIDACION ELECTR.,CARGO POSNET  FIRSTDATA.COM.AR,CARGOS DE ENTIDAD                           ,"CRED FISCAL AHORA 12/18 VTA EN CUOTAS 10,50%","CRED FISCAL AHORA 12/18 VTA EN CUOTAS 21,00%","CRED. FISCAL PAG.S/DTO.FIN.OTORG 21,00%     ","CRED.FISC.LEY 25063 PAG.S/DTO.F.OTORG. 10,50",DESCUENTO FINANC.OTORG. CUOTAS              ,IMPORTE NETO DE PAGOS                       ,"IVA CRED.FISC.COM.L.25063 S/DTO F.OTOR 10,50","IVA CRED.FISC.COMERCIO S/ARANC 21,00%       ","IVA PROMO CUOTAS AHORA 12/18 - 10,50%","IVA PROMO CUOTAS AHORA 12/18 - 21,00%",IVA RI CRED.FISC.COMERCIO S/DTO F.OTORG     ,IVA RI SERV.OPER. INT.,IVA RI SIST CUOTAS                          ,IVA RI. CARGO LIQUID. ELECT.                ,PER B.A.I.BR.DN.01/04,"PERCEPCION IVA R.G. 2408   1,50 %",PROMO CUOTAS AHORA 12/18,REEMBOLSOS DE ENTIDAD                       ,RETENCION IMP.GANANCIAS                     ,RETENCION ING.BRUTOS                        ,RETENCION ING.BRUTOS SIRTAC,RETENCION IVA                               ,SERVICIO OPER. INTERNAC.,SUBTOTAL NETO DE PAGOS                      ,TOTAL DEDUCCIONES                           ,TOTAL LIQUIDACION                           ,TOTAL PAGOS DE COMERCIOS                    ,VENTAS C/DESCUENTO CONTADO                  ,VENTAS C/DTO CUOTAS FINANC. OTORG.          ,percepcion iva
2022-07-01,4547438,1172.5433333333333,,,29733.924999999996,,,,,21828.43,,3060.02,138.17,15887.47,1658141.915,138.17,6244.1224999999995,21828.43,,3060.02,,,,2141.9525,456.89,207889.79,,15897.215,34514.7475,17444.364999999998,43777.8425,,1658141.915,212948.77000000002,1658141.915,,983287.8166666668,2267249.645,1629.4333333333334
2022-07-01,14935528,,,,44.98,,,,,10.653,,,,,2191.25,,9.45,10.65,,,,,,,,101.46,,,45.64,24.99,70.58,,2191.25,307.75,2191.25,,,2499.0,
2022-07-01,14935556,,,,170.95,,,,,40.485,,,,,8500.9,,35.9,40.49,,,,,,,,385.58,,,,94.97,268.21,,8500.9,996.1,8500.9,,,9497.0,
2022-07-01,14935569,,,,428.31,,,,,101.438,,,,,21075.24,,89.95,101.44,,,,,,,,966.08,,224.01,,237.95,672.02,,21075.24,2719.76,21075.24,,,23795.0,
2022-07-01,15537297,80.55,,,2685.16,,,,,703.068,,,,,131363.52,,563.88,703.07,,,,,,,,6695.89,,1397.95,,1491.76,4193.84,,131363.52,17812.1,131363.52,,,149175.62,
2022-07-01,15550885,,,,269.94,,,,,58.394,,,,,13046.3,,56.69,58.39,,,,,,20.65,,556.14,,141.71,272.08,149.97,425.13,,13046.3,1950.7,13046.3,,1299.0,13698.0,
2022-07-01,15550898,,,,145.74,,,,,34.517,,,,,7088.0,,30.61,34.52,,,,,,11.86,,328.74,,,147.88,80.97,228.68,,7088.0,1009.0,7088.0,,,8097.0,
2022-07-01,15550911,,,,134.94,,,,,21.306,,,,,6672.41,,28.34,21.31,,,,,,8.45,,202.92,,,138.89,74.97,214.77,,6672.41,824.59,6672.41,,2499.0,4998.0,
2022-07-01,15550922,,,,356.34,,,,,84.394,,,,,17147.4,,74.83,84.39,,,,,,29.0,,803.76,,186.37,357.83,197.97,559.11,,17147.4,2649.6,17147.4,,,19797.0,
2022-07-01,15550935,,,,1166.12,,,,,276.178,,,,,56114.25,,244.89,276.18,,,,,,94.91,,2630.27,,609.89,1170.98,647.85,1829.66,,56114.25,8670.75,56114.25,,,64785.0,
2022-07-01,15550950,,,,316.71,,,,,75.007,,,,,15240.09,,66.51,75.01,,,,,,25.78,,714.36,,165.64,318.03,175.95,496.92,,15240.09,2354.91,15240.09,,,17595.0,
2022-07-01,15554030,,,,71.98,,,,,17.047,,,,,3435.6,,15.12,17.05,,,,,,,,162.36,,,143.96,39.99,112.94,,3435.6,563.4,3435.6,,,3999.0,
2022-07-01,15554043,,,,188.96,,,,,44.753,,,,,9060.91,,39.68,44.75,,,,,,,,426.22,,98.83,237.19,104.98,296.48,,9060.91,1437.09,9060.91,,,10498.0,
2022-07-01,15554056,,,,82.78,,,,,19.605,,,,,4116.63,,17.38,19.61,,,,,,,,186.72,,,,45.99,129.89,,4116.63,482.37,4116.63,,,4599.0,
2022-07-01,15554071,,,,610.34,,,,,182.797,,,,,29644.74,,128.17,182.8,,,,,,,,1740.93,,315.57,,339.08,946.71,,29644.74,4263.6,29644.74,,,33908.34,
2022-07-01,15554084,,,,844.82,,,,,200.079,,,,,41569.48,,177.41,200.08,,,,,,,,1905.52,,441.84,,469.34,1325.51,,41569.48,5364.52,41569.48,,,46934.0,
2022-07-01,15554106,,,,162.84,,,,,38.567,,,,,7891.57,,34.2,38.57,,,,,,,,367.31,,,206.53,90.47,255.51,,7891.57,1155.43,7891.57,,,9047.0,
2022-07-01,15554134,,,,82.78,,,,,19.605,,,,,4116.63,,17.38,19.61,,,,,,,,186.72,,,,45.99,129.89,,4116.63,482.37,4116.63,,,4599.0,
2022-07-01,15569812,,,,255.52,,,,,28.979,,,,,12617.66,,53.66,28.98,,,,,,13.29,,276.0,,136.64,262.36,141.96,409.93,,12617.66,1578.34,12617.66,,7398.0,6798.0,
2022-07-01,15589105,,,,518.25,,,,,122.74,,,,,24464.6,,108.83,122.74,,,,,,,,1168.96,,271.05,1036.51,287.92,813.14,,24464.6,4327.4,24464.6,,,28792.0,
2022-07-01,15589118,,,,124.14,,,,,21.306,,,,,6256.49,,26.07,21.31,,,,,,,,202.92,,,,68.97,197.1,,6256.49,640.51,6256.49,,1899.0,4998.0,
2022-07-01,17938116,,,,1.78,,,,,,,,,,95.86,,0.37,,,,,,,,,,,,,0.99,,,95.86,3.14,95.86,,99.0,,
2022-07-01,19265106,,,,349.15,,,,,,,,,,17644.19,,73.32,,,,,,,8.73,,,,190.48,365.72,193.97,571.44,,17644.19,1752.81,17644.19,,19397.0,,
2022-07-01,19273970,,,,616.54,,,,,176.187,,,,,30031.28,,129.47,176.19,,,,,,,,1677.98,,319.58,,342.52,958.73,,30031.28,4221.01,30031.28,,,34252.29,
2022-07-04,4547438,1189.8674999999998,,,39660.3575,,,,,27753.189,,,,26309.78,2228711.3375,773.28,8328.675,27753.19,,3978.52,4.73,,,2616.9625,678.81,264316.07,,21239.9175,46376.3475,23291.4425,58233.77,22.5,2228711.3375,281889.7525,2228718.1449999996,27.23,1368453.3366666667,2968535.79,1868.6774999999998
2022-07-04,14935530,,,,40.48,,,,,,,,,,2068.42,,8.5,,,,,,,,,,,,42.85,22.49,66.26,,2068.42,180.58,2068.42,,2249.0,,
2022-07-04,14935556,,,,350.88,,,,,66.05,,,,,17437.88,,73.68,66.05,,,,,,,,629.06,,185.13,,194.93,555.39,,17437.88,2055.12,17437.88,,3999.0,15494.0,
2022-07-04,14935569,,,,75.58,,,,,,,,,,3941.86,,15.87,,,,,,,,,,,,,41.99,123.7,,3941.86,257.14,3941.86,,4199.0,,
2022-07-04,15537297,236.41,,,7879.44,,,,,2079.803,,,,,385314.89,,1654.68,2079.8,,,,,,,,19807.65,,4100.66,,4377.53,12301.98,,385314.89,52438.15,385314.89,,40080.0,397673.04,
2022-07-04,15550872,,,,401.27,,,,,95.035,,,,,19309.32,,84.27,95.04,,,,,,32.66,,905.1,,209.87,402.94,222.93,629.6,,19309.32,2983.68,19309.32,,,22293.0,
2022-07-04,15550885,,,,594.97,,,,,140.909,,,,,28630.1,,124.94,140.91,,,,,,48.42,,1341.99,,311.17,597.45,330.54,933.51,,28630.1,4423.9,28630.1,,,33054.0,
2022-07-04,15550898,,,,224.93,,,,,53.27,,,,,10823.54,,47.24,53.27,,,,,,18.31,,507.34,,117.64,225.86,124.96,352.91,,10823.54,1672.46,10823.54,,,12496.0,
2022-07-04,15550911,,,,723.86,,,,,224.124,,,,,34294.9,,152.01,224.12,,,,,,71.46,,2134.51,,373.56,717.24,402.14,1120.68,,34294.9,5919.58,34294.9,,,40214.48,
2022-07-04,15550922,,,,831.84,,,,,178.901,,,,,40213.47,,174.69,178.9,,,,,,63.39,,1703.82,,436.78,838.62,462.14,1310.35,,40213.47,6000.53,40213.47,,4248.0,41966.0,
2022-07-04,15550935,,,,730.39,,,,,246.931,,,,,34392.19,,153.38,246.93,,,,,,77.05,,2351.73,,374.95,719.9,405.77,1124.85,,34392.19,6184.95,34392.19,,,40577.14,
2022-07-04,15550950,,,,876.33,,,,,207.544,,,,,42169.06,,184.03,207.54,,,,,,71.32,,1976.61,,458.32,879.98,486.85,1374.96,,42169.06,6515.94,42169.06,,,48685.0,
2022-07-04,15554030,,,,588.44,,,,,122.314,,,,,27950.48,,123.57,122.31,,,,,,,,1164.9,,309.38,1176.88,326.91,928.13,,27950.48,4740.52,27950.48,,3999.0,28692.0,
2022-07-04,15554043,,,,248.28,,,,,58.803,,,,,11905.71,,52.14,58.8,,,,,,,,560.04,,129.86,311.66,137.94,389.57,,11905.71,1888.29,11905.71,,,13794.0,
2022-07-04,15554056,,,,1081.54,,,,,256.146,,,,,53218.24,,227.12,256.15,,,,,,,,2439.49,,565.65,,600.86,1696.95,,53218.24,6867.76,53218.24,,,60086.0,
2022-07-04,15554084,80.47,,,2682.83,,,,,730.588,,,,,130965.54,,563.39,730.59,,,,,,,,6957.99,,1394.07,,1490.48,4182.2,,130965.54,18082.02,130965.54,,,149047.56,
2022-07-04,15554097,,,,190.03,,,,,45.004,,,,,9350.35,,39.91,45.0,,,,,,,,428.61,,99.38,,105.57,298.15,,9350.35,1206.65,9350.35,,,10557.0,
2022-07-04,15554106,,,,1542.19,,,,,365.245,,,,,73949.33,,323.86,365.25,,,,,,,,3478.53,,806.57,1935.77,856.78,2419.72,,73949.33,11728.67,73949.33,,,85678.0,
2022-07-04,15554134,,,,462.45,,,,,109.525,,,,,22755.44,,97.11,109.53,,,,,,,,1043.1,,241.86,,256.92,725.59,,22755.44,2936.56,22755.44,,,25692.0,
2022-07-04,15569812,,,,187.14,,,,,44.322,,,,,9005.49,,39.3,44.32,,,,,,15.23,,422.12,,97.88,187.92,103.97,293.63,,9005.49,1391.51,9005.49,,,10397.0,
2022-07-04,15580405,,,,200.48,,,,,47.481,,,,,9864.95,,42.1,47.48,,,,,,,,452.2,,104.85,,111.38,314.56,,9864.95,1273.05,9864.95,,,11138.0,
2022-07-04,15589105,,,,1273.08,,,,,275.087,,,,,60364.8,,267.35,275.09,,,,,,,,2619.88,,668.34,2546.17,707.27,2005.02,,60364.8,10362.2,60364.8,,6198.0,64529.0,
2022-07-04,15589118,,,,635.06,,,,,150.402,,,,,31248.41,,133.36,150.4,,,,,,,,1432.41,,332.14,,352.81,996.41,,31248.41,4032.59,31248.41,,,35281.0,
2022-07-04,19265106,,,,331.99,,,,,78.626,,,,,15975.47,,69.72,78.63,,,,,,27.02,,748.83,,173.63,333.37,184.44,520.9,,15975.47,2468.53,15975.47,,,18444.0,
