,Nro Comprobante,Fecha,Total,ID_cliente
0,FAC B0001-00000001,2015-12-10,1.0,675
1,FAC B0001-00000002,2015-12-10,1.0,675
2,FAC B0001-00000003,2015-12-28,999.99,123
3,FAC B0001-00000004,2015-12-28,34.21,123
4,FAC B0001-00000005,2015-12-28,0.71,123
5,FAC B0001-00000006,2016-01-05,565.39,410
6,FAC B0001-00000007,2016-01-05,125.29,410
7,FAC B0001-00000008,2016-01-07,939.71,716
8,FAC B0001-00000009,2016-01-07,939.72,353
9,FAC B0001-00000010,2016-01-07,801.42,166
10,FAC B0001-00000011,2016-01-07,999.0,801
11,FAC B0001-00000012,2016-01-07,128.91,801
12,FAC B0001-00000013,2016-01-08,939.72,814
13,FAC B0001-00000014,2016-01-08,999.0,312
14,FAC B0001-00000015,2016-01-08,129.0,312
15,FAC B0001-00000016,2016-01-08,999.0,783
16,FAC B0001-00000017,2016-01-08,599.94,783
17,FAC B0001-00000018,2016-01-09,999.0,20
18,FAC B0001-00000019,2016-01-09,35.23,20
19,FAC B0001-00000020,2016-01-11,939.72,907
20,FAC B0001-00000021,2016-01-11,940.56,676
21,FAC B0001-00000022,2016-01-11,939.71,64
22,FAC B0001-00000023,2016-01-12,1.0,716
23,FAC B0001-00000024,2016-01-12,1.0,64
24,FAC B0001-00000025,2016-01-12,7.45,62
25,FAC B0001-00000026,2016-01-12,347.61,536
26,FAC B0001-00000027,2016-01-15,34.0,838
27,FAC B0001-00000028,2016-01-15,34.0,838
28,FAC B0001-00000029,2016-01-28,503.63,838
29,FAC B0001-00000030,2016-01-28,34.66,838
30,FAC B0001-00000031,2016-02-01,998.98,302
31,FAC B0001-00000032,2016-02-01,881.08,302
32,FAC B0001-00000033,2016-02-01,500.45,912
33,FAC B0001-00000034,2016-02-02,998.98,394
34,FAC B0001-00000035,2016-02-02,417.67,394
35,FAC B0001-00000036,2016-02-02,998.98,669
36,FAC B0001-00000037,2016-02-02,129.33,669
37,FAC B0001-00000038,2016-02-02,700.66,445
38,FAC B0001-00000039,2016-02-03,801.41,166
39,FAC B0001-00000040,2016-02-04,500.45,603
40,FAC B0001-00000041,2016-02-04,998.98,123
41,FAC B0001-00000042,2016-02-04,35.64,123
42,FAC B0001-00000043,2016-02-04,998.98,846
43,FAC B0001-00000044,2016-02-04,317.55,846
44,FAC B0001-00000045,2016-02-05,939.71,42
45,FAC B0001-00000046,2016-02-05,998.98,866
46,FAC B0001-00000047,2016-02-05,599.93,866
47,FAC B0001-00000048,2016-02-05,998.98,312
48,FAC B0001-00000049,2016-02-05,128.99,312
49,FAC B0001-00000050,2016-02-05,500.45,879
50,FAC B0001-00000051,2016-02-05,404.24,536
51,FAC B0001-00000052,2016-02-05,940.55,215
52,FAC B0001-00000053,2016-02-05,469.87,643
53,FAC B0001-00000054,2016-02-05,500.44,350
54,FAC B0001-00000055,2016-02-06,939.71,898
55,FAC B0001-00000056,2016-02-06,657.99,468
56,FAC B0001-00000057,2016-02-06,939.71,204
57,FAC B0001-00000058,2016-02-10,998.98,20
58,FAC B0001-00000059,2016-02-10,35.06,20
59,FAC B0001-00000060,2016-02-10,565.38,410
60,FAC B0001-00000061,2016-02-10,998.98,783
61,FAC B0001-00000062,2016-02-10,599.93,783
62,FAC B0001-00000063,2016-02-10,405.99,625
63,FAC B0001-00000064,2016-02-10,564.42,757
64,FAC B0001-00000065,2016-02-10,564.42,757
65,FAC B0001-00000066,2016-02-10,500.44,386
66,FAC B0001-00000067,2016-02-10,998.98,465
67,FAC B0001-00000068,2016-02-10,128.91,465
68,FAC B0001-00000069,2016-02-10,600.69,465
69,FAC B0001-00000070,2016-02-11,473.0,838
70,FAC B0001-00000071,2016-02-12,939.71,353
71,FAC B0001-00000072,2016-02-16,998.98,801
72,FAC B0001-00000073,2016-02-16,128.87,801
73,FAC B0001-00000074,2016-02-16,83.1,838
74,FAC B0001-00000075,2016-02-17,939.71,907
75,FAC B0001-00000076,2016-02-26,939.71,527
76,FAC B0001-00000077,2016-03-02,998.98,123
77,FAC B0001-00000078,2016-03-02,35.64,123
78,FAC B0001-00000079,2016-03-02,939.71,716
79,FAC B0001-00000080,2016-03-03,500.44,350
80,FAC B0001-00000081,2016-03-03,998.98,302
81,FAC B0001-00000082,2016-03-03,881.53,302
82,FAC B0001-00000083,2016-03-04,998.98,273
83,FAC B0001-00000084,2016-03-04,128.99,273
84,FAC B0001-00000085,2016-03-04,939.71,294
85,FAC B0001-00000086,2016-03-04,314.24,294
86,FAC B0001-00000087,2016-03-04,939.72,294
87,FAC B0001-00000088,2016-03-04,998.98,944
88,FAC B0001-00000089,2016-03-04,411.82,944
89,FAC B0001-00000090,2016-03-04,998.98,774
90,FAC B0001-00000091,2016-03-04,600.12,774
91,FAC B0001-00000092,2016-03-04,751.85,303
92,FAC B0001-00000093,2016-03-06,998.98,394
93,FAC B0001-00000094,2016-03-06,410.9,394
94,FAC B0001-00000095,2016-03-07,998.98,889
95,FAC B0001-00000096,2016-03-07,35.38,889
96,FAC B0001-00000097,2016-03-07,998.98,241
97,FAC B0001-00000098,2016-03-07,413.59,241
98,FAC B0001-00000099,2016-03-07,939.71,373
99,FAC B0001-00000100,2016-03-07,392.28,536
100,FAC B0001-00000101,2016-03-07,998.98,866
101,FAC B0001-00000102,2016-03-07,599.93,866
102,FAC B0001-00000103,2016-03-07,721.53,166
103,FAC B0001-00000104,2016-03-07,119.99,166
104,FAC B0001-00000105,2016-03-07,998.98,846
105,FAC B0001-00000106,2016-03-07,317.62,846
106,FAC B0001-00000107,2016-03-08,940.44,209
107,FAC B0001-00000108,2016-03-08,940.55,215
108,FAC B0001-00000109,2016-03-08,469.87,643
109,FAC B0001-00000110,2016-03-09,939.71,716
110,FAC B0001-00000111,2016-03-09,998.98,20
111,FAC B0001-00000112,2016-03-09,35.22,20
112,FAC B0001-00000113,2016-03-09,998.98,459
113,FAC B0001-00000114,2016-03-09,413.59,459
114,FAC B0001-00000115,2016-03-09,998.98,774
115,FAC B0001-00000116,2016-03-09,600.12,774
116,FAC B0001-00000117,2016-03-09,939.71,42
117,FAC B0001-00000118,2016-03-10,998.98,312
118,FAC B0001-00000119,2016-03-10,128.99,312
119,FAC B0001-00000120,2016-03-10,565.38,410
120,FAC B0001-00000121,2016-03-10,998.98,944
121,FAC B0001-00000122,2016-03-10,411.82,944
122,FAC B0001-00000123,2016-03-10,500.45,603
123,FAC B0001-00000124,2016-03-10,939.72,373
124,FAC B0001-00000125,2016-03-10,939.71,663
125,FAC B0001-00000126,2016-03-10,940.55,573
126,FAC B0001-00000127,2016-03-10,500.45,879
127,FAC B0001-00000128,2016-03-10,405.99,625
128,FAC B0001-00000129,2016-03-10,939.71,204
129,FAC B0001-00000130,2016-03-10,998.98,465
130,FAC B0001-00000131,2016-03-10,128.9,465
131,FAC B0001-00000132,2016-03-10,600.68,465
132,FAC B0001-00000133,2016-03-11,998.98,783
133,FAC B0001-00000134,2016-03-11,599.93,783
134,FAC B0001-00000135,2016-03-12,940.55,676
135,FAC B0001-00000136,2016-03-14,752.13,303
136,FAC B0001-00000137,2016-03-15,939.71,663
137,FAC B0001-00000138,2016-03-15,939.71,663
138,FAC B0001-00000139,2016-03-16,998.98,953
139,FAC B0001-00000140,2016-03-16,129.56,953
140,FAC B0001-00000141,2016-03-17,998.98,669
141,FAC B0001-00000142,2016-03-17,129.32,669
142,FAC B0001-00000143,2016-03-18,939.71,814
143,FAC B0001-00000144,2016-03-18,939.71,64
144,FAC B0001-00000145,2016-03-19,525.55,838
145,FAC B0001-00000146,2016-03-19,500.45,386
146,FAC B0001-00000147,2016-03-19,998.98,801
147,FAC B0001-00000148,2016-03-19,128.9,801
148,FAC B0001-00000149,2016-03-23,500.45,912
149,FAC B0001-00000150,2016-03-23,699.99,730
150,FAC B0001-00000151,2016-03-28,998.98,889
151,FAC B0001-00000152,2016-03-28,35.38,889
152,FAC B0001-00000153,2016-03-28,500.45,357
153,FAC B0001-00000154,2016-04-04,939.71,814
154,FAC B0001-00000155,2016-04-04,998.98,123
155,FAC B0001-00000156,2016-04-04,35.64,123
156,FAC B0001-00000157,2016-04-05,500.45,350
157,FAC B0001-00000158,2016-04-06,801.41,166
158,FAC B0001-00000159,2016-04-06,998.98,774
159,FAC B0001-00000160,2016-04-06,600.12,774
160,FAC B0001-00000161,2016-04-06,939.71,353
161,FAC B0001-00000162,2016-04-06,939.71,42
162,FAC B0001-00000163,2016-04-07,939.71,716
163,FAC B0001-00000164,2016-04-07,940.44,209
164,FAC B0001-00000165,2016-04-07,538.53,273
165,FAC B0001-00000166,2016-04-07,998.98,944
166,FAC B0001-00000167,2016-04-07,411.82,944
167,FAC B0001-00000168,2016-04-07,998.98,783
168,FAC B0001-00000169,2016-04-07,599.93,783
169,FAC B0001-00000170,2016-04-07,940.17,711
170,FAC B0001-00000171,2016-04-08,998.98,312
171,FAC B0001-00000172,2016-04-08,128.99,312
172,FAC B0001-00000173,2016-04-08,998.98,459
173,FAC B0001-00000174,2016-04-08,413.59,459
174,FAC B0001-00000175,2016-04-08,564.42,757
175,FAC B0001-00000176,2016-04-08,500.45,603
176,FAC B0001-00000177,2016-04-08,939.71,294
177,FAC B0001-00000178,2016-04-08,392.28,536
